time,IA,IB,IC,Power,PF,kVAh,I_mean,I_imbalance,dI_dt,kVAh_rate,PF_abs,cluster,state,Vab,Vbc,Vca,V_mean,V_imbalance,V_deviation,P_error
2025-12-24 13:30:00,10.53,12.323,9.176,3.26425,0.825,4032.7295,10.676333333333334,14.785928850031835,0.4366666666666674,0.3274999999998726,0.825,3,Running_Low,214.07225,213.54375,209.45925,212.35841666666667,1.1888483312363958,3.473446969696968,0.7517708672712455
2025-12-24 13:35:00,10.411,12.023,8.854,3.24475,0.8285,4033.05725,10.429333333333332,15.193488346840937,-0.2470000000000016,0.3277499999999236,0.8285,1,Running_High,213.86849999999998,213.59924999999998,209.643,212.37024999999997,1.1139514324448743,3.468068181818195,2.046011230467039
2025-12-24 13:40:00,10.581,12.441,8.889,3.2195,0.8254999999999999,4033.38425,10.637,16.70266088904961,0.2076666666666664,0.3270000000002255,0.8254999999999999,3,Running_Low,214.04775,213.32525,208.8965,212.08983333333336,1.3150099876787276,3.595530303030291,0.19090179194021484
2025-12-24 13:45:00,10.35,12.248,8.829,3.16375,0.8242499999999999,4033.7065,10.475666666666667,16.351806016712892,-0.1613333333333315,0.3222500000001673,0.8242499999999999,3,Running_Low,213.75725,213.38400000000001,209.20825,212.1165,1.190630243637226,3.5834090909090897,0.27058490811015845
2025-12-24 13:50:00,10.467,12.092,8.544,3.10325,0.81975,4034.0255,10.367666666666668,17.130995897090216,-0.1080000000000005,0.3189999999995052,0.81975,3,Running_Low,214.37625,213.912,210.10500000000002,212.79775000000004,1.1012871273973237,3.2737499999999837,0.9423348446299511
2025-12-24 13:55:00,10.218,11.82,8.627,3.11325,0.8202499999999999,4034.3415,10.221666666666666,15.6188145241796,-0.1460000000000008,0.3160000000002583,0.8202499999999999,3,Running_Low,214.17725000000002,213.80025,209.58225,212.51991666666666,1.2003899328542464,3.4000378787878818,0.8679194964424254
2025-12-24 14:00:00,10.43,11.999,8.693,3.134,0.819,4034.643,10.374,15.940922312761437,0.1523333333333347,0.3015000000000327,0.819,3,Running_Low,214.88925,214.02775,210.0085,212.9751666666667,1.2231791932133027,3.1931060606060475,0.004777385242563248
2025-12-24 14:05:00,10.494,12.567,8.6,3.2097499999999997,0.817,4034.981,10.553666666666668,18.800792389982917,0.1796666666666659,0.337999999999738,0.817,3,Running_Low,215.1705,214.60375,210.511,213.42841666666666,1.1912184835088424,2.9870833333333344,0.695920068931418
2025-12-24 14:10:00,10.538,12.345,8.86,3.23775,0.8222499999999999,4035.3095,10.581,16.471957983473253,0.0273333333333347,0.3285000000005311,0.8222499999999999,3,Running_Low,214.736,214.27825,210.5595,213.19125,1.0744462633944034,3.0948863636363653,0.7758727066244749
2025-12-24 14:15:00,10.622,12.512,8.904,3.2262500000000003,0.8202499999999999,4035.639,10.679333333333332,16.898837321513977,0.0983333333333309,0.3294999999998254,0.8202499999999999,3,Running_Low,215.51225,214.81650000000002,210.62175,213.65016666666668,1.2383123376987775,2.8862878787878734,0.47458640617356207
